Autoscaler,DisplayName,Run,File,ScaleUpEvents,ScaleDownEvents,DecisionEvents,TotalScalingMagnitude
queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1.csv,20,22,42,52.99999999999999
queue-CDT120,QUEUE-CDT120,2,queue-CDT120-2.csv,18,23,41,54.982142857142854
queue-CDT120,QUEUE-CDT120,3,queue-CDT120-3.csv,17,20,37,53.46428571428571
queue-CDT120,QUEUE-CDT120,4,queue-CDT120-4.csv,22,25,47,57.30952380952381
queue-CDT120,QUEUE-CDT120,5,queue-CDT120-5.csv,17,20,37,52.17857142857143
queue-CDT300,QUEUE-CDT300,1,queue-CDT300-1.csv,19,22,41,53.321428571428584
queue-CDT300,QUEUE-CDT300,2,queue-CDT300-2.csv,19,22,41,48.76785714285714
queue-CDT300,QUEUE-CDT300,3,queue-CDT300-3.csv,19,24,43,47.39285714285714
queue-CDT300,QUEUE-CDT300,4,queue-CDT300-4.csv,20,20,40,47.875
queue-CDT300,QUEUE-CDT300,5,queue-CDT300-5.csv,16,20,36,43.71428571428571
hpa80-CDT120,HPA80-CDT120,1,hpa80-CDT120-1.csv,17,13,30,58.0
hpa80-CDT120,HPA80-CDT120,2,hpa80-CDT120-2.csv,19,14,33,60.0
hpa80-CDT120,HPA80-CDT120,3,hpa80-CDT120-3.csv,19,13,32,58.0
hpa80-CDT120,HPA80-CDT120,4,hpa80-CDT120-4.csv,17,13,30,60.0
hpa80-CDT120,HPA80-CDT120,5,hpa80-CDT120-5.csv,17,11,28,60.0
hpa80-CDT300,HPA80-CDT300,1,hpa80-CDT300-1.csv,18,11,29,54.0
hpa80-CDT300,HPA80-CDT300,2,hpa80-CDT300-2.csv,19,15,34,60.0
hpa80-CDT300,HPA80-CDT300,3,hpa80-CDT300-3.csv,17,16,33,59.99999999999999
hpa80-CDT300,HPA80-CDT300,4,hpa80-CDT300-4.csv,17,12,29,58.0
hpa80-CDT300,HPA80-CDT300,5,hpa80-CDT300-5.csv,15,15,30,60.0
hybrid-CDT120,HYBRID-CDT120,1,hybrid-CDT120-1.csv,24,19,43,61.5
hybrid-CDT120,HYBRID-CDT120,2,hybrid-CDT120-2.csv,25,24,49,69.66666666666667
hybrid-CDT120,HYBRID-CDT120,3,hybrid-CDT120-3.csv,21,22,43,71.85714285714286
hybrid-CDT120,HYBRID-CDT120,4,hybrid-CDT120-4.csv,23,21,44,66.71428571428572
hybrid-CDT120,HYBRID-CDT120,5,hybrid-CDT120-5.csv,24,22,46,69.07142857142857
hybrid-CDT300,HYBRID-CDT300,1,hybrid-CDT300-1.csv,20,25,45,65.82142857142856
hybrid-CDT300,HYBRID-CDT300,2,hybrid-CDT300-2.csv,23,25,48,64.53571428571429
hybrid-CDT300,HYBRID-CDT300,3,hybrid-CDT300-3.csv,20,25,45,67.85714285714286
hybrid-CDT300,HYBRID-CDT300,4,hybrid-CDT300-4.csv,20,26,46,63.46428571428571
hybrid-CDT300,HYBRID-CDT300,5,hybrid-CDT300-5.csv,24,24,48,66.46428571428572
