,count
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,40
9,70
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,110
18,140
19,170
20,200
21,200
22,200
23,200
24,200
25,200
26,200
27,210
28,240
29,270
30,300
31,300
32,300
33,300
34,300
35,300
36,300
37,310
38,340
39,370
40,400
41,400
42,400
43,400
44,400
45,400
46,400
47,410
48,440
49,470
50,500
51,500
52,500
53,500
54,500
55,500
56,500
57,470
58,440
59,410
60,380
61,350
62,320
63,290
64,260
65,230
66,200
67,170
68,140
69,110
70,80
71,50
72,20
